28:-369,-7952,10397,10270,-4594,-10358,-14094,13367,2926,-2644 
29:-6550,7709,-1174,-7891,4353,-5605,-752,6126,253,460 
30:-9692,3746,-2836,10247,-2345,3358,1016,6286,-7471,-5383 
31:-588,8244,5125,6586,-10659,-8469,-8748,-6346,14886,-3027 
32:-916,-3173,1209,-6695,2279,879,20617,-2447,-10595,-4149 
33:-6927,2395,-6062,1588,-1064,-5943,-8275,14795,-2969,9379 
34:11822,-7111,-3663,1267,-7714,-3,2544,-5200,7553,-2552 
35:-5024,5408,-6,594,1524,12446,-5535,-1137,-4352,-6978 
36:-6338,-1505,3467,-2451,-4201,1297,18874,-13181,3039,-2051 
37:20815,-6760,-1648,-1679,-6073,-2174,5296,-3990,-2193,-4657 
38:-6053,-1341,2247,-4026,7005,-9892,751,11905,-5459,1795 
39:900,-7506,460,-8736,2056,-3392,15503,-1943,-3074,2736 
40:-8183,17891,-3291,1777,-5142,-1949,-2331,771,-1387,-1192 
41:-2559,2569,-1651,943,-6571,-166,-4854,-5013,13493,740 
42:-5811,6025,-7540,-3433,-958,-1037,-5192,14470,-7600,8047 
43:-7261,2829,-7255,1192,-1766,-244,-5790,5835,-390,9807 
44:-8369,3985,-2968,9664,-2736,2640,-5948,3914,-3097,-154 
45:-4403,-4872,-11437,-3754,7366,-4418,-6836,10077,-4456,19706 
46:-2636,2238,-3311,-1082,-5171,1681,-6351,-900,10096,2380 
47:-226,-180,-4842,-2260,4724,21553,-7685,-6217,1076,-9021 
48:-3906,1209,-8755,4929,-2574,8233,-3723,2070,1473,-2005 
49:3706,-401,-4871,22102,-14903,8231,-13292,-3054,6505,-7078 
50:2439,4107,-948,13914,-8281,6336,-3031,-2916,-3859,-10816 
51:27475,-10052,-6929,5913,-11209,8893,-13659,114,705,-4322 
52:4293,-8407,-14525,-3042,-3427,-3816,-8886,30210,-7641,12184 
53:-7449,7377,-8406,-634,4201,1122,450,3526,-4229,960 
54:-7564,-6420,-11853,-3642,7706,-1283,-5732,12405,180,13153 
55:-6027,-3524,-6009,-91,-3440,-205,-11958,5278,13541,9352 
56:27492,-9976,-3304,-8884,-9573,5053,-6416,-2040,5698,-1134 
57:-6553,-2242,-7708,-3872,6695,-4159,-5172,10709,-5137,14386 
58:-6594,-7779,-9386,1736,18739,-2913,-5417,-2825,899,10476 
59:-5989,17040,2932,54,-3376,-2683,-4458,-4352,4763,-7032 
60:7572,-3074,3212,-13206,14972,-11945,4016,6161,-7198,-3575 
61:-8048,4489,-4266,-2726,9382,104,-1524,-1695,411,810 
62:1115,-2963,-2133,-3130,-3026,3233,13830,-13839,6963,-3124 
63:24115,-7259,-6711,12453,-10210,-1508,-6568,-4484,-472,-2355 
64:6531,-7291,1321,-13788,10747,1015,3286,-2106,-1364,-1373 
65:-4189,5516,-2619,-2651,502,15633,-4616,-5850,4788,-9591 
66:3841,-4306,-2618,-4473,-2836,208,24798,-10607,-5200,-1850 
67:-8259,18269,83,1119,-4166,-3033,-2589,-286,618,-4802 
68:14171,-1442,10928,-2324,-8033,2656,-5634,-1800,1865,-13450 
69:18012,-13741,-6298,4234,-9215,4031,-1773,-3979,7489,-1790 
70:-3381,10945,3950,3168,-13429,1206,7469,-2904,-2074,-7980 
71:-1977,2001,-8914,-4970,3139,-3369,-5378,17679,-7169,5898 
72:-7357,17069,-1219,-754,-3619,-953,284,802,-4422,-2859 
73:-1319,1597,3983,-8740,-2105,-9235,22101,-6842,-1048,-1405 
74:-3235,-2448,-8215,17524,-7963,8113,-5274,84,1950,-3612 
75:19263,-4615,-6702,9779,-9148,5362,-7638,-2421,-2072,-4851 
76:-5024,6543,11519,10178,-10148,-1282,-4923,-6489,8729,-12182 
77:-6093,17946,968,1545,-6819,-3213,-4564,-2163,4060,-4734 
78:-10228,15048,6014,161,-2145,-9855,-4023,1861,1250,-1163 
79:-3800,4225,-8588,-3422,1700,-4883,-7356,16516,-4013,6558 
80:7724,-2935,1329,2161,-4721,1585,1172,-3331,3041,-9095 
81:19103,-10465,-7159,4714,-9306,8053,-3578,-4356,3556,-3585 
82:7605,-8813,26477,4865,-8836,-7281,8865,-13069,1411,-14288 
83:5130,-1160,2892,-9551,-581,-7757,17952,-4755,-4702,-471 
84:-4527,-5380,-3156,4988,-1649,-5735,-8745,23555,-10258,7846 
85:-2134,1332,-1706,8417,-4800,-16,-10268,-3407,12455,-2913 
86:-7581,-1115,-5015,11474,-1100,6803,-5729,3348,-3825,-317 
87:-3814,-6055,-7466,-10142,7740,-9260,-4877,14030,-2084,18875 
88:22495,-5288,2191,343,-10473,1763,-3553,-3077,265,-7754 
89:-192,-6635,-7317,-16155,20102,54,-861,4391,-3615,7181 
90:3907,-5135,2345,-16226,3259,-6524,31587,-8608,-6213,-1446 
91:1798,-2055,-15104,-3796,4751,-4301,-6578,20964,-9258,10544 
92:-5019,-2658,-3084,-5019,14685,-1168,-1484,-819,-4241,5736 
93:1532,72,1532,-6206,-1735,-4802,16585,-7768,-642,-1578 
94:-4977,2033,-3180,-2422,-4209,-515,-4717,-1451,14333,2050 
95:21601,-11841,-2554,667,-8671,3097,688,-4829,1009,-2234 
96:-5962,1886,-7091,-4057,-770,-4793,-7781,20026,-6501,12029 
97:-3614,-171,-1343,-14,-4621,-520,-8304,-3705,16842,2412 
98:-3535,213,-7360,16519,-6623,7662,-6650,-1692,2583,-4190 
99:-7713,14535,1746,319,-819,-4876,-5373,3406,-2741,-1549 
